rate_date,rate_value
01/11/2001,2.001185
01/12/2001,2.020996
01/01/2002,2.032111
01/02/2002,2.04471
01/03/2002,2.053706
01/04/2002,2.06192
01/05/2002,2.078002
01/06/2002,2.086729
01/07/2002,2.093615
01/08/2002,2.109735
01/09/2002,2.130832
01/10/2002,2.144043
01/11/2002,2.163339
01/12/2002,2.208336
01/01/2003,2.27569
01/02/2003,2.320748
01/03/2003,2.371572
01/04/2003,2.398607
01/05/2003,2.425951
01/06/2003,2.446571
01/07/2003,2.451953
01/08/2003,2.447539
01/09/2003,2.454147
01/10/2003,2.468135
01/11/2003,2.484424
01/12/2003,2.488647
01/01/2004,2.500094
01/02/2004,2.517094
01/03/2004,2.539747
01/04/2004,2.549905
01/05/2004,2.555259
01/06/2004,2.569057
01/07/2004,2.583443
01/08/2004,2.607469
01/09/2004,2.628068
01/10/2004,2.640945
01/11/2004,2.649396
01/12/2004,2.666087
01/01/2005,2.688482
01/02/2005,2.706763
01/03/2005,2.726793
01/04/2005,2.736336
01/05/2005,2.756584
01/06/2005,2.779463
01/07/2005,2.782798
01/08/2005,2.785859
01/09/2005,2.793659
01/10/2005,2.798128
01/11/2005,2.813797
01/12/2005,2.835744
01/01/2006,2.846519
01/02/2006,2.861036
01/03/2006,2.875913
01/04/2006,2.886553
01/05/2006,2.89146
01/06/2006,2.899266
01/07/2006,2.894917
01/08/2006,2.894338
01/09/2006,2.899837
01/10/2006,2.901286
01/11/2006,2.909699
01/12/2006,2.920464
01/01/2007,2.930685
01/02/2007,2.945924
01/03/2007,2.959475
01/04/2007,2.971608
01/05/2007,2.978145
01/06/2007,2.985888
01/07/2007,2.994547
01/08/2007,3.001733
01/09/2007,3.01434
01/10/2007,3.023081
01/11/2007,3.030336
01/12/2007,3.037305
01/01/2008,3.058566
01/02/2008,3.079975
01/03/2008,3.099686
01/04/2008,3.106815
01/05/2008,3.125145
01/06/2008,3.142645
01/07/2008,3.170928
01/08/2008,3.190904
01/09/2008,3.202072
01/10/2008,3.210397
01/11/2008,3.220028
01/12/2008,3.235806
01/01/2009,3.245189
01/02/2009,3.258169
01/03/2009,3.278695
01/04/2009,3.282301
01/05/2009,3.294117
01/06/2009,3.313552
01/07/2009,3.326143
01/08/2009,3.33346
01/09/2009,3.341126
01/10/2009,3.347474
01/11/2009,3.353499
01/12/2009,3.368254
01/01/2010,3.381053
01/02/2010,3.398634
01/03/2010,3.430581
01/04/2010,3.449449
01/05/2010,3.466006
01/06/2010,3.487841
01/07/2010,3.494467
01/08/2010,3.491321
01/09/2010,3.489575
01/10/2010,3.500392
01/11/2010,3.522094
01/12/2010,3.552384
01/01/2011,3.576895
01/02/2011,3.604079
01/03/2011,3.639038
01/04/2011,3.660872
01/05/2011,3.68906
01/06/2011,3.714883
01/07/2011,3.723427
01/08/2011,3.72715
01/09/2011,3.737213
01/10/2011,3.75702
01/11/2011,3.772799
01/12/2011,3.790153
01/01/2012,3.811377
01/02/2012,3.83615
01/03/2012,3.856481
01/04/2012,3.866122
01/05/2012,3.882746
01/06/2012,3.902548
01/07/2012,3.909572
01/08/2012,3.922473
01/09/2012,3.93777
01/10/2012,3.956671
01/11/2012,3.982389
01/12/2012,4.003893
01/01/2013,4.031519
01/02/2013,4.066996
01/03/2013,4.094651
01/04/2013,4.114714
01/05/2013,4.135699
01/06/2013,4.154723
01/07/2013,4.17051
01/08/2013,4.173429
01/09/2013,4.180106
01/10/2013,4.191392
01/11/2013,4.21151
01/12/2013,4.235515
01/01/2014,4.267281
01/02/2014,4.295871
01/03/2014,4.325942
01/04/2014,4.357521
01/05/2014,4.391509
01/06/2014,4.416979
01/07/2014,4.437738
01/08/2014,4.445282
01/09/2014,4.451505
01/10/2014,4.468865
01/11/2014,4.490315
01/12/2014,4.507378
01/01/2015,4.542986
01/02/2015,4.583418
01/03/2015,4.644377
01/04/2015,4.701967
01/05/2015,4.752278
01/06/2015,4.780791
01/07/2015,4.82812
01/08/2015,4.856605
01/09/2015,4.877488
01/10/2015,4.89651
01/11/2015,4.928826
01/12/2015,4.970721
01/01/2016,5.029375
01/02/2016,5.075645
01/03/2016,5.147719
01/04/2016,5.169854
01/05/2016,5.19622
01/06/2016,5.240907
01/07/2016,5.26187
01/08/2016,5.290284
01/09/2016,5.31409
01/10/2016,5.326312
01/11/2016,5.336431
01/12/2016,5.350305
01/01/2017,5.36047
01/02/2017,5.377087
01/03/2017,5.406123
01/04/2017,5.414232
01/05/2017,5.425601
01/06/2017,5.438622
01/07/2017,5.447323
01/08/2017,5.437517
01/09/2017,5.456548
01/10/2017,5.46255
01/11/2017,5.481122
01/12/2017,5.498661
01/01/2018,5.517906
01/02/2018,5.539425
01/03/2018,5.560474
01/04/2018,5.566034
01/05/2018,5.577722
01/06/2018,5.58553
01/07/2018,5.647529
01/08/2018,5.683673
01/09/2018,5.691061
01/10/2018,5.696182
01/11/2018,5.729219
01/12/2018,5.740104
01/01/2019,5.730919
01/02/2019,5.748111
01/03/2019,5.767654
01/04/2019,5.798799
01/05/2019,5.84055
01/06/2019,5.860991
01/07/2019,5.864507
01/08/2019,5.869785
01/09/2019,5.87448
01/10/2019,5.879767
01/11/2019,5.885058
01/12/2019,5.893297
01/01/2020,5.955176
01/02/2020,5.997457
01/03/2020,6.010651
01/04/2020,6.011853
01/05/2020,6.011251
01/06/2020,5.975784
01/07/2020,5.976979
01/08/2020,5.994909
01/09/2020,6.008697
01/10/2020,6.035736
01/11/2020,6.092471
01/12/2020,6.14182
01/01/2021,6.206923
01/02/2021,6.255336
01/03/2021,6.285361
01/04/2021,6.343814
01/05/2021,6.381876
01/06/2021,6.409956
01/07/2021,6.463158
01/08/2021,6.509692
01/09/2021,6.567628
01/10/2021,6.642498
01/11/2021,6.722207
01/12/2021,6.800856
01/01/2022,6.853902
01/02/2022,6.893654
01/03/2022,6.961901
01/04/2022,7.028039
01/05/2022,7.149624
01/06/2022,7.191806
01/07/2022,7.241429
01/08/2022,7.250842
01/09/2022,7.19791
01/10/2022,7.171277
01/11/2022,7.182751
01/12/2022,7.220819
01/01/2023,7.258367
01/02/2023,7.298288
01/03/2023,7.353754
01/04/2023,7.404494
01/05/2023,7.446699
